"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Bevolkingsdichtheid (aantal inwoners per km²)";"Milieu en bodemgebruik/Bodemgebruik/Oppervlakte/Land (km²)"
"2019";"Tubbergen";"   21276";"     145";"  147.00"
"2019";"Twenterand";"   33792";"     318";"  106.17"
"2019";"Tynaarlo";"   33698";"     236";"  143.00"
"2019";"Tytsjerksteradiel";"   31780";"     213";"  148.86"
"2019";"Ubbergen";"";"";""
"2019";"Uden";"   41782";"     624";"   67.00"
"2019";"Udenhout";"";"";""
"2019";"Uitgeest";"   13528";"     706";"   19.16"
"2019";"Uithoorn";"   29424";"    1622";"   18.14"
"2019";"Urk";"   20776";"    1579";"   13.15"
"2019";"Utrecht (gemeente)";"  352866";"    3761";"   93.83"
"2019";"Utrechtse Heuvelrug";"   49515";"     375";"  132.01"
"2019";"Vaals";"   10092";"     422";"   23.89"
"2019";"Valburg";"";"";""
"2019";"Valkenburg (ZH.)";"";"";""
"2019";"Valkenburg aan de Geul";"   16470";"     448";"   36.73"
"2019";"Valkenisse";"";"";""
"2019";"Valkenswaard";"   30910";"     563";"   54.92"
"2019";"Veendam";"   27491";"     362";"   76.00"
"2019";"Veenendaal";"   65589";"    3370";"   19.46"
"2019";"Veere";"   21835";"     165";"  132.56"
"2019";"Veghel";"";"";""
"2019";"Veldhoven";"   45337";"    1431";"   31.69"
"2019";"Velsen";"   68348";"    1512";"   45.20"
"2019";"Venhuizen";"";"";""
"2019";"Venlo";"  101603";"     818";"  124.25"
"2019";"Venray";"   43326";"     265";"  163.27"
"2019";"Vessem, Wintelre en Knegsel";"";"";""
"2019";"Vianen";"";"";""
"2019";"Vierlingsbeek";"";"";""
"2019";"Vijfheerenlanden";"   55712";"     381";"  146.41"
"2019";"Vlaardingen";"   72404";"    3072";"   23.57"
"2019";"Vlagtwedde";"";"";""
"2019";"Vledder";"";"";""
"2019";"Vleuten-De Meern";"";"";""
"2019";"Vlieland";"    1138";"      29";"   39.15"
"2019";"Vlijmen";"";"";""
"2019";"Vlissingen";"   44371";"    1293";"   34.31"
"2019";"Vlist";"";"";""
"2019";"Voerendaal";"   12452";"     395";"   31.51"
"2019";"Voorburg";"";"";""
"2019";"Voorhout";"";"";""
"2019";"Voorschoten";"   25479";"    2287";"   11.14"
"2019";"Voorst";"   24417";"     199";"  122.97"
"2019";"Vorden";"";"";""
"2019";"Vries";"";"";""
"2019";"Vriezenveen";"";"";""
"2019";"Vught";"   26396";"     782";"   33.75"
"2019";"Waadhoeke";"   46039";"     162";"  284.86"
"2019";"Waalre";"   17247";"     770";"   22.39"
"2019";"Waalwijk";"   48240";"     747";"   64.58"
"2019";"Waddinxveen";"   28316";"    1019";"   27.77"
"2019";"Wageningen";"   38774";"    1275";"   30.42"
"2019";"Warmond";"";"";""
"2019";"Warnsveld";"";"";""
"2019";"Waspik";"";"";""
"2019";"Wassenaar";"   26211";"     513";"   51.11"
"2019";"Wateringen";"";"";""
"2019";"Waterland";"   17315";"     332";"   52.11"
"2019";"Weerselo";"";"";""
"2019";"Weert";"   49842";"     478";"  104.32"
"2019";"Weesp";"   19334";"     848";"   22.79"
"2019";"Wehl";"";"";""
"2019";"Werkendam";"";"";""
"2019";"Wervershoof";"";"";""
"2019";"West Betuwe";"   50697";"     235";"  216.12"
"2019";"West Maas en Waal";"   19076";"     249";"   76.76"
"2019";"Westerbork";"";"";""
"2019";"Westerhoven";"";"";""
"2019";"Wester-Koggenland";"";"";""
"2019";"Westerkwartier";"   63031";"     174";"  362.69"
"2019";"Westerschouwen";"";"";""
"2019";"Westerveld";"   19348";"      70";"  278.35"
"2019";"Westervoort";"   14944";"    2126";"    7.03"
"2019";"Westerwolde";"   25199";"      91";"  275.67"
"2019";"Westkapelle";"";"";""
"2019";"Westland";"  108603";"    1336";"   81.27"
"2019";"Weststellingwerf";"   25840";"     117";"  220.30"
"2019";"Westvoorne";"   14626";"     275";"   53.18"
"2019";"Wierden";"   24351";"     257";"   94.63"
"2019";"Wieringen";"";"";""
"2019";"Wieringermeer";"";"";""
"2019";"Wijchen";"   40951";"     619";"   66.18"
"2019";"Wijdemeren";"   24013";"     504";"   47.60"
"2019";"Wijhe";"";"";""
"2019";"De Wijk";"";"";""
"2019";"Wijk bij Duurstede";"   23762";"     499";"   47.62"
"2019";"Willemstad";"";"";""
"2019";"Winschoten";"";"";""
"2019";"Winsum";"";"";""
"2019";"Winterswijk";"   28903";"     209";"  138.14"
"2019";"Wisch";"";"";""
"2019";"Wittem";"";"";""
"2019";"Woensdrecht";"   21866";"     239";"   91.66"
"2019";"Woerden";"   52197";"     589";"   88.57"
"2019";"Wognum";"";"";""
"2019";"De Wolden";"   24110";"     107";"  224.55"
"2019";"Wormerland";"   16329";"     423";"   38.59"
"2019";"Woudenberg";"   13166";"     360";"   36.53"
"2019";"Woudrichem";"";"";""
"2019";"Wouw";"";"";""
"2019";"Wûnseradiel";"";"";""
"2019";"Wymbritseradiel";"";"";""
"2019";"Zaanstad";"  155885";"    2110";"   73.87"
"2019";"Zaltbommel";"   28451";"     358";"   79.38"
"2019";"Zandvoort";"   17011";"     530";"   32.12"
"2019";"Zederik";"";"";""
"2019";"Zeevang";"";"";""
"2019";"Zeewolde";"   22309";"      90";"  247.23"
"2019";"Zeist";"   63934";"    1318";"   48.51"
"2019";"Zelhem";"";"";""
"2019";"Zevenaar";"   43488";"     470";"   92.60"
"2019";"Zevenbergen";"";"";""
"2019";"Zevenhuizen-Moerkapelle";"";"";""
"2019";"Zierikzee";"";"";""
"2019";"Zijpe";"";"";""
"2019";"Zoetermeer";"  124944";"    3627";"   34.45"
"2019";"Zoeterwoude";"    8450";"     399";"   21.19"
"2019";"Zuidhorn";"";"";""
"2019";"Zuidlaren";"";"";""
"2019";"Zuidplas";"   42762";"     737";"   58.02"
"2019";"Zuidwolde";"";"";""
"2019";"Zundert";"   21612";"     179";"  120.65"
"2019";"Zutphen";"   47609";"    1163";"   40.95"
"2019";"Zwartewaterland";"   22503";"     273";"   82.49"
"2019";"Zwartsluis";"";"";""
"2019";"Zweeloo";"";"";""
"2019";"Zwijndrecht";"   44639";"    2199";"   20.30"
"2019";"Zwolle";"  127497";"    1148";"  111.10"
